Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;PowerPlan;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;NumEntities;DomainClient;total;concurrent;depth;Mean;Error;StdDev;Gen 0;Gen 1;Gen 2;Allocated
RunBenchmarksAsyncParallel;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;WcfBinary;40;1;?;965.7 us;8.821 us;7.819 us;61.5385;11.5385;-;202.97 KB
PipelinedLoadAsync;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;WcfBinary;40;?;1;"1,064.9 us";21.243 us;50.487 us;59.6154;13.4615;-;202.62 KB
RunBenchmarksAsyncParallel;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;WcfBinary;40;2;?;741.7 us;17.024 us;16.720 us;56.2500;15.6250;-;206.23 KB
PipelinedLoadAsync;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;WcfBinary;40;?;2;552.1 us;7.414 us;6.935 us;54.6875;16.4063;-;206.99 KB
RunBenchmarksAsyncParallel;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;WcfBinary;40;4;?;584.2 us;8.879 us;8.306 us;52.3438;17.1875;-;208.95 KB
PipelinedLoadAsync;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;WcfBinary;40;?;4;454.3 us;7.637 us;6.770 us;51.5625;17.1875;-;208.98 KB
GetCititesUniqueContext;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;WcfBinary;?;?;?;"4,032.1 us";53.564 us;50.104 us;289.0625;140.6250;-;919.07 KB
GetCititesReuseContext;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;WcfBinary;?;?;?;"1,092.6 us";17.219 us;16.107 us;60.5469;11.7188;-;203.03 KB
InvokeAsync;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;WcfBinary;?;?;?;591.6 us;8.991 us;8.411 us;16.6016;-;-;51.34 KB
Submit;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;WcfBinary;?;?;?;"20,239.5 us";363.248 us;339.783 us;1218.7500;281.2500;-;4041.78 KB
RunBenchmarksAsyncParallel;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000;WcfBinary;40;1;?;"5,506.9 us";44.594 us;41.714 us;391.6667;150.0000;33.3333;1468.81 KB
PipelinedLoadAsync;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000;WcfBinary;40;?;1;"5,526.3 us";63.214 us;56.037 us;400.0000;150.0000;33.3333;1469.66 KB
RunBenchmarksAsyncParallel;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000;WcfBinary;40;2;?;"4,386.9 us";30.708 us;28.724 us;408.3333;175.0000;33.3333;1484.22 KB
PipelinedLoadAsync;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000;WcfBinary;40;?;2;"3,478.5 us";32.895 us;30.770 us;425.0000;212.5000;37.5000;1495.83 KB
RunBenchmarksAsyncParallel;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000;WcfBinary;40;4;?;"3,951.3 us";35.716 us;31.661 us;406.2500;131.2500;31.2500;1485.76 KB
PipelinedLoadAsync;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000;WcfBinary;40;?;4;"3,499.6 us";50.959 us;47.667 us;431.2500;156.2500;37.5000;1505.19 KB
GetCititesUniqueContext;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000;WcfBinary;?;?;?;"11,256.7 us";48.523 us;45.389 us;953.1250;265.6250;62.5000;3414.97 KB
GetCititesReuseContext;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000;WcfBinary;?;?;?;"5,610.7 us";34.840 us;32.590 us;398.4375;156.2500;39.0625;1470.63 KB
InvokeAsync;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000;WcfBinary;?;?;?;567.5 us;5.338 us;4.732 us;16.6016;-;-;51.38 KB
Submit;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000;WcfBinary;?;?;?;"181,665.3 us";"3,603.752 us";"6,021.061 us";7000.0000;2000.0000;-;34817.87 KB
